Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,latitude,longitude
Balme-​Les Autannes-Vallorcine-​Le Tour,France,2270,1453,51,13,16,0,29,Yes,No,8,2,2,12,14860,0,46.011,6.5853
Espace Diamant-Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France,2069,1000,40,132,49,11,192,Yes,Yes,53,30,0,83,90852,472,45.474,6.3315
Gresse en Vercors,France,1751,1245,19,8,7,5,20,Yes,No,10,1,0,11,6808,51,44.54,5.34
La Grave - La Meije,France,3534,1470,49,3,0,0,3,No,No,1,0,2,3,1460,0,45.0249,6.1824
Espace San Bernardo – La Rosière/​La Thuile,France,2641,1176,43,55,83,22,160,Yes,No,21,18,1,40,53669,0,45.6883,6.9135
La Tania-Val Thorens/​Les Menuires/​Méribel (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.44,6.57
Les Deux alpes,France,3560,1280,49,110,56,34,200,Yes,Yes,26,21,7,54,72334,224,45.0026,6.0718
Les Contamines-​Hauteluce,France,2437,1164,39,40,60,20,120,No,Yes,12,8,4,24,33972,0,45.4921,6.4348
Les Orres,France,2720,1550,35,30,60,10,100,Yes,No,11,9,0,20,21020,190,44.51,6.55
Sainte-Foy-Tarentaise,France,2620,1550,31,10,25,6,41,No,No,2,4,0,6,7100,10,45.35,6.53
Serre Chevalier-Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,France,2800,1200,49,138,80,32,250,Yes,Yes,33,21,7,61,72066,575,44.96,6.42
Val Thorens (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.3983,6.5878
Montgenèvre (Via Lattea),France,2749,1372,48,96,220,84,400,No,Yes,29,35,7,71,96433,0,44.93,6.72
